Species,FoodTroph
Abramis brama,3.1500000953674316
Blicca bjoerkna,3.0899999141693115
Centrolabrus exoletus,3.5
Coregonus lavaretus,3.1500000953674316
Ctenolabrus rupestris,3.5
Esox lucius,4.47
Gadus morhua,4.29
Labrus bergylta,3.32
Labrus mixtus,3.91
Leuciscus idus,3.79
Limanda limanda,3.39
Lota lota,4.05
Melanogrammus aeglefinus,3.56
Perca fluviatilis,3.66
Platichthys flesus,3.3
Pleuronectes platessa,3.23
Rutilus rutilus,2.87
Salmo salar,3.86
Salmo trutta,3.799999952316284
Salmo trutta,3.630000114440918
Salmo trutta,3.5
Salmo trutta,3.2
Salvelinus alpinus,3.4600000381469727
Sander lucioperca,4.04
Symphodus melops,3.32
Thymallus thymallus,3.140000104904175
