"","ID","CAMPAIGN","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","SITE_CODE","SAMPLE_DATE","SAMPLE_MATRIX","SAMPLE_SPECIES","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_TISSUE","SAMPLE_REMARK","SAMPLING_METHOD","SAMPLING_DEPTH_VALUE","SAMPLING_DEPTH_UNIT","SAMPLING_REMARK","SAMPLING_PROTOCOL_ID","SUBSAMPLE","SAMPLE_ID_ORG","FRACTION","FRACTION_PROTOCOL_ID","EXTRACTION_METHOD","EXTRACTION_PROTOCOL_ID","ANALYTICAL_METHOD","ANALYTICAL_PROTOCOL_ID","DATA_TYPE","MEASURED_CATEGORY","MEASURED_TYPE","STRESSOR_NAME","CAS_RN","MEASURED_FLAG","MEASURED_VALUE","MEASURED_UNIT","LOQ_VALUE","LOQ_UNIT","LOD_VALUE","LOD_UNIT","MEASURED_REFERENCE_ID","ORGANISATION","ENTERED_BY.x","ENTERED_DATE.x","COMMENTS.x","YEAR","MONTH","SEASON","LOG_MEASURED_VALUE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_ID","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_GEOGRAPHIC_FEATURE_SUB_ID","COUNTRY","AREA","LATITUDE","LONGITUDE","COORDINATE_SYSTEM","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY.y","ENTERED_DATE.y","COMMENTS.y"
"1",44911,"Vm_ANNE","Aquatic","Freshwater","139-55742",2007-06-01,"Fresh water","Not relevant","Not relevant","Not relevant",NA,"Point",NA,"m",NA,"NS-ISO 5667-6A",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 11885","Stressor","External","Concentration","Kobber","CAS_7440-50-8","<",5,NA,NA,"µg/l",NA,"µg/l",1,"Berger feltBIO","UNKNOWN","2025-02-26","LOD/LOQ Missing",2007,6,"Summer",0.698970004336019,"Igda, stasjon 3","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",64.4919345000962,11.9232706911886,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"2",46036,"Vm_ANNE","Aquatic","Freshwater","002-56458",2017-11-15,"Fresh water","Not relevant","Not relevant","Not relevant","Skullerud råvannsinntak","Point",NA,"m","Skullerud råvannsinntak","NS-ISO 5667-4A",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 11885","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,1.57,NA,NA,"µg/l",NA,"µg/l",1,"Oslo kommune VAV","UNKNOWN","2025-02-26","LOD/LOQ Missing",2017,11,"Fall",0.195899652409234,"Skullerud","Lake, pond, pool, reservoir",4,"Water column, pelagic zone",4,"NO","NR",59.8754346441223,10.9074717670218,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"3",62085,"Vm_ANNE","Aquatic","Freshwater","018-80537",2017-06-13,"Fresh water","Not relevant","Not relevant","Not relevant","2,21","Point",NA,"m","2,21","UKJENT",1,"434-2017-0614-021","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2:2016","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,3.6,NA,NA,"µg/l",NA,"µg/l",1,"Eurofins Environment Testing Norway AS (Kr.sand)","UNKNOWN","2025-02-26","LOD/LOQ Missing",2017,6,"Summer",0.556302500767287,"Vennevann bekk (2.21)","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",58.6043200702356,8.90191884498379,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"4",120327,"Vm_ANNE","Aquatic","Marine/Salt Water","02.61-118012",2022-03-24,"Salt water","Not relevant","Not relevant","Not relevant","Not relevant","Point",18.5,"m","Not relevant","NS-ISO 5667-9A",1,"ST2-1","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8","<",0.05,NA,NA,"µg/l",NA,"µg/l",1,"COWI","UNKNOWN","2025-02-26","LOD/LOQ Missing",2022,3,"Spring",-1.30102999566398,"Store Lungegaardsvannet","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",60.3812160039984,5.33821000920155,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"5",96487,"Vm_ANNE","Aquatic","Freshwater","059-99884",2020-09-29,"Fresh water","Not relevant","Not relevant","Not relevant","Not relevant","Point",NA,"m","Not relevant","NS-ISO 5667-6A",1,"ÅsHei-UT Vann","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2:2016","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,2.52,NA,0.1,"µg/l",NA,"µg/l",1,"Norconsult AS","UNKNOWN","2025-02-26",NA,2020,9,"Fall",0.401400540781544,"Heivatnet - bekk innloep fra Hauglandsdalen (AasHei-Ut)","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",60.4809477941626,5.14439943979799,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"6",101788,"Vm_ANNE","Aquatic","Marine/Salt Water","04.02-102971",2020-08-11,"Salt water","Not relevant","Not relevant","Not relevant","Not relevant","Point",5,"m","Not relevant","NS-ISO 5667-9A",1,"St1","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8","<LOQ",0.5,NA,0.5,"µg/l",NA,"µg/l",1,"Rambøll Norge AS","UNKNOWN","2025-02-26",NA,2020,8,"Summer",-0.301029995663981,"Nordfjorden (St1)","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",69.6334835576997,18.3976348666831,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"7",66427,"Vm_ANNE","Aquatic","Freshwater","236-81604",2016-08-09,"Fresh water","Not relevant","Not relevant","Not relevant","Not relevant","Point",NA,"m","Not relevant","NS-ISO 5667-6A",1,"Q3","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 11885","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,4.32,NA,NA,"µg/l",NA,"µg/l",1,NA,"UNKNOWN","2025-02-26","LOD/LOQ Missing",2016,8,"Summer",0.635483746814912,"Styrdalselva , Q3 sidesig","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",70.8369434071122,29.2385857709072,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"8",97136,"Vm_ANNE","Aquatic","Marine/Salt Water","03.42-100373",2021-05-14,"Sediment","Not relevant","Not relevant","Not relevant","Not relevant","Point",0,"m","Not relevant","NS-EN ISO 5667-19B",1,"Hugg 3","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,20000,"mg/kg dw",NA,"mg/kg t.v.",NA,"mg/kg t.v.",1,"Aqua kompetanse AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2021,5,"Spring",4.30102999566398,"C1 STORBUKTA","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",64.9607203273186,11.6141492593424,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"9",34946,"Vm_ANNE","Aquatic","Freshwater","307-44911",2020-08-13,"Fresh water","Not relevant","Not relevant","Not relevant",NA,"Point",5,"m",NA,"UKJENT",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,5.4,NA,NA,"µg/l",NA,"µg/l",1,"Multiconsult Norge AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2020,8,"Summer",0.732393759822969,"Hudningsvatnet, oestre del (St.5)","Lake, pond, pool, reservoir",4,"Water column, pelagic zone",4,"NO","NR",64.8713700007257,13.820579999097,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"10",52179,"Vm_ANNE","Aquatic","Marine/Salt Water","02.82-61631",2009-03-20,"Salt water","Not relevant","Not relevant","Not relevant","Filtrert","Point",10,"m","Filtrert","NS-ISO 5667-9A",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,1.12,NA,NA,"µg/l",NA,"µg/l",1,"DNV","UNKNOWN","2025-02-26","LOD/LOQ Missing",2009,3,"Spring",0.0492180226701817,"Nordgulen","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",61.7665500019878,5.19863001257873,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
